attname,avg_width,null_frac,n_distinct
_lotsize_done,1,0.000,1
_poi_done,1,0.000,1
_restore_done,1,0.991,1
activestreetfrontage,22,0.986,9
ada_class_description,18,1.000,1
ada_lay_class,18,1.000,1
ada_lay_name,18,1.000,1
addctrl_fsr_clause,13,0.935,27
addctrl_fsr_label,8,0.934,44
addctrl_fsr_value,20,0.999,7
addctrl_hob_clause,17,0.983,17
addctrl_hob_label,13,0.983,40
addctrl_hob_max_height_m,10,1.000,3
addctrl_hob_value,18,1.000,2
addctrl_ls_clause,12,0.985,28
addctrl_ls_label,7,0.984,20
addctrl_ls_precinct,7,1.000,-3.3318996e-05
addctrl_ls_sym_code,3,0.984,1
addctrl_ls_value,13,1.000,14
addctrl_lzn_area,13,1.000,4
addctrl_lzn_label,12,0.997,12
addctrl_stmarys_area,28,1.000,1
addctrl_stmarys_epi_name,18,1.000,1
address,24,0.000,419045
all_edges_measurements,24,0.050,105034
all_frontage_road_ids,9,0.233,63019
all_frontages,22,0.028,104091
apu_clause,10,0.990,3
apu_code,4,0.973,120
area,12,0.000,111779
area_h,8,0.000,111779
area_sqm,8,0.050,72490
area_type,2,0.000,1
asb_class_description,0,1.000,0
asb_label,0,1.000,0
asb_lay_class,0,1.000,0
asb_lay_name,0,1.000,0
asf_epi_name,18,0.986,32
asf_lga_name,10,0.986,29
ass_lay_class,8,0.648,104
australian_noise_exposure_forecast,8,0.999,8
average_slope,8,0.231,152723
bct_controllin,2,0.993,6
biodiversity,14,0.890,82
biomap_epi_name,18,0.994,6
biomap_label,18,1.000,1
biomap_lay_class,14,0.994,7
biomap_lay_name,13,0.996,1
biovalue_boset_class,20,0.886,86
biovalue_category,19,0.886,4
buffer,4,0.966,4
buffered_geom,18,0.000,172250
bushfireproneland,20,0.708,48
cdc_agritourism,1,0.000,2
cdc_agritourism_exclusions,16,0.011,496
cdc_dual_occupancy,1,0.000,2
cdc_dual_occupancy_exclusions,16,0.272,665
cdc_dwelling_houses,1,0.000,2
cdc_dwelling_houses_exclusions,17,0.355,610
cdc_eligible,1,0.000,2
cdc_farmstay,1,0.000,2
cdc_farmstay_exclusions,16,0.011,496
cdc_general,1,0.000,2
cdc_general_exclusions,17,0.469,392
cdc_greenfield_housing,1,0.000,2
cdc_greenfield_housing_exclusions,18,0.025,635
cdc_inland_dwelling_houses,1,0.000,2
cdc_inland_dwelling_houses_r5,1,0.000,2
cdc_inland_dwelling_houses_r5_exclusions,18,0.003,574
